variable_name
aggStatus
keytabURI
fromNode
g4
bjm
RECORDS
path
tries
threadId
initTime
finalReplication
targetPath
baseUrl
expected
outputFile
closeCount
znodeWorkingDir
filename
valueClassesStr
rollThreshold
comp
compDirVersionToDel
testPath
reasonMap
numMemDiskSegments
inMemToDiskBytes
rpcAddress
configCapacity
used
nonDFSUsed
remaining
percentUsed
percentRemaining
manifestReloadInterval
shortCacheDirectiveId
key
time
blockPoolID
min
max
retryCount
str
uri
containerId
record
containerId
key
uploadId
name
repl
timeout
duration
id
blockFile
resource
reduceId
dbPath
currentFileName
className
path
numThreads
blockDistribution
newrbw
totalComparators
name
lastWrittenTxId
synctxid
txid
id
fileType
webapp
numberSnapshotCreated
1
zoneId
TEST_ROOT_DIR
id
decompressedLength
compressedLength
finalDir
this
clusterResource
clusterResource
baseUri
clusterId
this
token
log
matcher
clusterResource
src
reported
expected
leaseRenewer
p
hostName
reqCont
reqTask
srcPath
applicationId
user
queueName
masterContainer
this
stripedFile
requestedLen
nrBytes
nrFiles
split
expectedPrimary
offset
l
FORCE_OPTION
nn1Dir
diskCapacity
configCapacity
reserved
used
remaining
nonDFSUsed
remaining
percentUsed
percentRemaining
bpUsed
percentBpUsed
dir
appId
statusCode
removedContainers
bpid
v
timeTaken
info
metaFile
tarFile
nodeId
DFS_NAMENODE_HTTP_BIND_HOST_KEY
fjm
sstr
truncateOption
se
waitCount
deleted
tempConfigPath
finalState
path
p
event
expectedNumToRemove
subClusterInfo
abfsId
id
decompressedLength
compressedLength
dirCount
replicaToDelete
uploadLatency
numberOfMaps
from
to
nsId
src
applicationId
subClusterId
jobId
applicationId
user
queueName
httpAndRpcPorts
e
e
markerFile
provider
key
initialReplication
targetPath
targetNodePartition
reservationIdName
planName
job
jhLogDir
sourceSortedListing
newMode
appAttemptId
maxVCores
blockMovementMaxRetry
keytabPath
shouldUnregister
user
totalEntries
qSize
subClusterId
appId
markerFile
log
finalEditsFile
taskid
range
testFile
dnIndex
datanode
pos
num_confs_updated
stat
file1
fileSize
blockSize
demotionRequests
nmLoginUGI
loadedVersion
s
pluginClassName
mode
nameserviceId
nrUnderConstruction
value
s
numSpillsPerMap
path
attemptId
fsp
txid
service
userUgi
requestedMountPath
blockPoolID
this
numOpsRequired
remoteRootLogDir
newPoolSize
numNodes
outputOff
storeType
regex
count
configName
loginUGI
src
fileType
dataDNFailureNum
parityDNFailureNum
clusterNmCount
blacklistedNodeCount
val
endpoint
newLength
isReady
testtimes
kbs*testtimes
totalTime
block
remoteAddress
localAddress
NUM_FILES
MAX_BLOCK_NUM
BLOCK_SIZE
NUM_THREADS
NUM_DATANODES
file
1
actual
allQueues
leafQueues
envBinaryPath
diagnostics
containerId
applicationAttemptId
targetedFinalState
exitStatus
applicationAttemptId
req
localPath
collectionName
poolName
fileCount
byteCount
yarnFile
outfile
elf
jvmId
dnUserName
nnDesc
serviceAddress
maxVCores
userACLs
maxDataLength
count
idString
info
src
srcPath
fn
bestEntry
kvstart
maxRec
nodeID
DFS_NAMENODE_SAFEMODE_EXTENSION_KEY
extension
dn
znodeWorkingDir
token
datanodeInfo
rbw
testFilePath
resID3
token0
schedulerConfPathStr
delaySecond
key
ibrInterval
numBlockCreated
containerId
BASE_DIR_NAME
out
prefix
keyOp
length
FAILOVER_SEED
containerId
closeByNPE
continueRead
routerSocket
timePeriod
applicationID
flagFile
dir0
e
jid
attemptId
numDirs
threads
filesPerThread
expectedFileCount
numberOfReduces
yarnAttemptID
nsId
path
nodeHostAddr
appId
sourceQueueName
destQueueName
blockIndex
encryption
url
i
progressEvent
readOnlyDir
writableDir
appId
b
staging
expectedNodesList
uri
targetPos
streamCurrentPos
SAMPLE_LOG_ENTRY
infraAppId
iostats
resource
dir0
results
csvFile
serviceName
publicResourceDir
fn
oldState
numOpsRequired
isLastAMRetry
netgroup
i
host
taskType
DFS_NAMENODE_SNAPSHOT_DELETION_ORDERED_GC_PERIOD_MS
deletionOrderedGcPeriodMs
compress
FS_DEFAULT_NAME_KEY
nnAddr
file
expectedBlocks
zoneId
sdLocation
path
url
dstReferences
withCounts
withNames
lastWrittenTxId
synctxid
txid
applicationAttemptId
user
nonce
i
nrUnderReplicated
name
g1
userLogPath
o
addr
port
nameservice
key
path
vmBit
name
classname
taskId
path
policyName
elf
finalConfigPath
sleepTime
nnAddr
oldBlock
src
newgenerationstamp
newlength
name
sleepTime
location
storageType
i
record
numMapsPerHost
appId
serviceName
applicationId
name1
stat
oldBlock
newgenerationstamp
newlength
closeFile
deleteblock
i
string
jobTempDir
FRAMEWORK_PERMISSION
fileSrcPath
dst
tid
taskAttemptNodeId
seed
written
rootPath
txid
fsName
xferSec
node
cSize
subDir
dir
seed
id
appId
s
linkFile
failedStorageLocation
prevTmp
streamTimeout
compressionRatio
report
maxMem
resource
srcPathString
dstPath
historyUrl
responsePath
captureOpenFiles
skipCaptureAccessTimeOnlyChange
snapshotDiffAllowSnapRootDescendant
maxSnapshotFSLimit
maxSnapshotLimit
master
contReceived
10
block
bpos
assignedNewName
containerIdStr
p
json
taskId
appId
newExpirationTime
idx
session
dnskeyRecord
existingEntry
record
newContainers
finalApplicationStatus
offset
remaining
jobId
res
applicationId
state
allocation
metaFolder
token
aclsEnabled
length
uploadLatency
jobId
info
value
groupMappingClassName
attemptId
megabytes
targetBytesNeeded
targetBytesCached
targetFilesNeeded
targetFilesCached
cliOptions
containerId
nsId
src
cacheName
newFile
key
newSize
localTarget
rpcCount
callStr
deleteFile
sendBufferSize
staleInterval
useRemoteJar
currentCount
ii
i
serviceName
totalCount
timestamp
rc
jvmId
IOSTATS
zkPrincipal
applicationId
containerId
index
timeTaken
maxStreams
output_
bpos
disabledPolicy
blocksProcessed
numFiles
shellId
v
errOutput
output
count
basePort
fileId
e
i
containerIdStr
maxKillWaitTime
failedDNIdx
deltaTxId
numTxns
percent
containerIdStr
storeRoot
command
containerIdStr
count
compressionType
containerIdStr
classId
output
recordName
record
nodesToDecommission
isStoragePolicyEnabled
renewer
currentDir
uri
attemptId
uploadRate
errorMessage
hasSnapshot
writeDumpDir
clusterResource
currentUser
url
p
inputpath
containerIDStr
n
s
worker
serviceName
appDir
loginURL
name
submitTime
deadline
duration
historyFilePath
path
permission
dependencyLibTarGzip
subClusterId
appId
name
root
block
oldRecoveryID
recoveryId
targetFinalPath
threads
label
historyFile
segmentTxId
journalId
name
onDiskPath
webPath
node
journalId
filename
newReplication
info1
curState
jaas
appId
nodeCreatePath
numNameNodes
numCachedReplicas
expectedReplicas
source
e
numOpsRequired
avgRespTimePriority0
index
targetPath
target
skipCleanup
ignoreCleanupFailures
url
line
compressionRatio
addr
source
dest
filePath
appId
token
vendorPluginClass
request
v
user
existingRecord
blockFile
restoreDirectory
taskAttemptID
taskOutcomePath
strictMemoryEnforcement
ahsAddress
numApps
numAppAttempts
s
r
expected
skipList
ratio
cluster
lifelineRPCAddress
this
user
commitMemory
usedMemory
name
property
newVal
fileStr
metaFile
dir
bindAddress
submitJobDir
10
timeOut
appId
lazy
metadataRequests
maxBoostAgainstMedian
source
newNode 
source
block
randomDir
snapshotName
heartbeatInterval
bucket
